Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
034 DP - Vila Sonia;2.258;29;1.349;1;287;8;0;6;0;5;0;248;303;13;5;9;193;0;2019
035 DP - Jabaquara;1.655;17;1.796;0;252;5;0;4;0;3;1;409;141;11;5;13;358;1;2020
035 DP - Jabaquara;2.234;10;1.744;0;277;4;0;5;0;7;0;349;172;7;5;19;731;0;2019
036 DP - Vila Mariana;3.646;2;828;0;223;0;0;1;0;2;0;132;68;16;3;2;18;1;2020
036 DP - Vila Mariana;4.344;1;1.160;0;349;0;0;0;1;2;0;143;122;29;5;4;31;0;2019
037 DP - Campo Limpo;2.253;123;3.467;3;298;21;0;8;0;16;1;569;189;3;16;50;327;0;2020
037 DP - Campo Limpo;2.651;120;3.358;1;372;23;0;9;0;24;0;671;306;6;19;39;379;0;2019
038 DP - Vila Amália;1.232;25;907;0;226;9;0;3;1;8;0;362;124;4;9;16;90;0;2020
038 DP - Vila Amália;1.248;10;1.104;2;243;2;0;4;0;9;0;365;192;5;6;28;126;0;2019
039 DP - Vila Gustavo;1.420;16;1.076;0;533;7;0;3;0;5;0;311;118;12;6;19;87;0;2020
039 DP - Vila Gustavo;1.869;10;1.178;0;799;4;0;1;1;9;0;339;186;9;12;21;105;0;2019
040 DP - Vila Santa Maria;1.076;31;750;0;228;5;0;1;0;5;0;195;79;8;5;6;108;0;2020
040 DP - Vila Santa Maria;1.263;45;911;1;293;4;0;4;0;10;1;265;121;33;4;6;231;0;2019
041 DP - Vila Rica;1.047;28;1.441;0;549;3;0;4;0;2;0;330;113;5;4;26;193;0;2020
041 DP - Vila Rica;1.517;30;1.509;0;832;4;0;1;0;7;0;363;166;7;4;31;280;0;2019
